task_id,household_id,workflow_id,task_name,owner_queue,status,depends_on_task_id,sla_hours,created_at,due_at
TASK-5001,H-1001,WF-H-1001,Intake package received,Ops,COMPLETED,,4,2026-01-12T09:00:00Z,2026-01-12T13:00:00Z
TASK-5002,H-1001,WF-H-1001,Documents classified & extracted,Ops,COMPLETED,TASK-5001,8,2026-01-12T15:00:00Z,2026-01-12T23:00:00Z
TASK-5003,H-1001,WF-H-1001,NIGO validation,Ops,COMPLETED,TASK-5002,8,2026-01-12T21:00:00Z,2026-01-13T05:00:00Z
TASK-5004,H-1001,WF-H-1001,Resolve NIGO exceptions,Ops,COMPLETED,TASK-5003,24,2026-01-13T03:00:00Z,2026-01-14T03:00:00Z
TASK-5005,H-1001,WF-H-1001,Account setup complete,Ops,COMPLETED,TASK-5004,24,2026-01-13T09:00:00Z,2026-01-14T09:00:00Z
TASK-5006,H-1001,WF-H-1001,Transfer submitted,Ops,COMPLETED,TASK-5005,24,2026-01-13T15:00:00Z,2026-01-14T15:00:00Z
TASK-5007,H-1001,WF-H-1001,Reconciliation complete,Ops,PENDING,TASK-5006,48,2026-01-13T21:00:00Z,2026-01-15T21:00:00Z
TASK-5008,H-1001,WF-H-1001,Transition complete,Ops,PENDING,TASK-5007,24,2026-01-14T03:00:00Z,2026-01-15T03:00:00Z
TASK-5009,H-1002,WF-H-1002,Intake package received,Ops,COMPLETED,,4,2026-01-13T09:00:00Z,2026-01-13T13:00:00Z
TASK-5010,H-1002,WF-H-1002,Documents classified & extracted,Ops,COMPLETED,TASK-5009,8,2026-01-13T15:00:00Z,2026-01-13T23:00:00Z
TASK-5011,H-1002,WF-H-1002,NIGO validation,Ops,COMPLETED,TASK-5010,8,2026-01-13T21:00:00Z,2026-01-14T05:00:00Z
TASK-5012,H-1002,WF-H-1002,Resolve NIGO exceptions,Ops,BREACHED,TASK-5011,24,2026-01-14T03:00:00Z,2026-01-29T16:00:00Z
TASK-5013,H-1002,WF-H-1002,Account setup complete,Ops,PENDING,TASK-5012,24,2026-01-14T09:00:00Z,2026-01-15T09:00:00Z
